snapshot_id,snapshot_ts,reason,candle_open_time,candle_close_time,position_open_time,side,size,entry_px,fees,funding,realised_pnl,fill_type,balance,equity,upnl
741,1712070420000,Open,1712070420000,1712070479999,1712070420000,Long,396.4190148987,181.8110000000,21.6220012553,0.0000000000,0.0000000000,Market,9978.3779987447,9905.0404809884,-73.3375177563
742,1712071200000,Interval,1712071200000,1712071259999,1712070420000,Long,396.4190148987,181.8110000000,21.6220012553,0.0000000000,0.0000000000,Market,9978.3779987447,9888.7873013776,-89.5906973671
743,1712072100000,Interval,1712072100000,1712072159999,1712070420000,Long,396.4190148987,181.8110000000,21.6220012553,0.0000000000,0.0000000000,Market,9978.3779987447,9776.6007201612,-201.7772785835
744,1712072280000,Flatten,1712072280000,1712072339999,1712070420000,Long,396.4190148987,181.8110000000,21.6220012553,0.0000000000,0.0000000000,Market,9978.3779987447,9478.0972019425,-500.2807968022
1757,1712982120000,Open,1712982120000,1712982179999,1712982120000,Long,445.3961015992,152.6550000000,20.3975825669,0.0000000000,0.0000000000,Market,9436.2277023593,9531.9878642031,95.7601618438
1758,1712982900000,Interval,1712982900000,1712982959999,1712982120000,Long,445.3961015992,152.6550000000,20.3975825669,0.0000000000,0.0000000000,Market,9436.2277023593,9621.0670845229,184.8393821637
1759,1712983560000,Flatten,1712983560000,1712983619999,1712982120000,Long,445.3961015992,152.6550000000,20.3975825669,0.0000000000,0.0000000000,Market,9436.2277023593,10124.3646793300,688.1369769707
3463,1714514820000,Open,1714514820000,1714514879999,1714514820000,Long,589.9854537361,125.7730000000,22.2612721418,0.0000000000,0.0000000000,Market,10301.2550318777,10426.3319480697,125.0769161921
3464,1714515600000,Interval,1714515600000,1714515659999,1714514820000,Long,589.9854537361,125.7730000000,22.2612721418,0.0000000000,0.0000000000,Market,10301.2550318777,10937.2593510052,636.0043191275
3465,1714515960000,Flatten,1714515960000,1714516019999,1714514820000,Long,589.9854537361,125.7730000000,22.2612721418,0.0000000000,0.0000000000,Market,10301.2550318777,11445.8268121257,1144.5717802480
3479,1714526460000,Open,1714526460000,1714526519999,1714526460000,Long,646.9206576878,126.0430000000,24.4619461371,0.0000000000,0.0000000000,Market,11353.3449710390,11733.7343177594,380.3893467204
3480,1714527300000,Interval,1714527300000,1714527359999,1714526460000,Long,646.9206576878,126.0430000000,24.4619461371,0.0000000000,0.0000000000,Market,11353.3449710390,11638.6369810793,285.2920100403
3481,1714528200000,Interval,1714528200000,1714528259999,1714526460000,Long,646.9206576878,126.0430000000,24.4619461371,0.0000000000,0.0000000000,Market,11353.3449710390,11972.4480404462,619.1030694072
3482,1714529100000,Interval,1714529100000,1714529159999,1714526460000,Long,646.9206576878,126.0430000000,24.4619461371,0.0000000000,0.0000000000,Market,11353.3449710390,11327.4681447315,-25.8768263075
3483,1714529340000,Flatten,1714529340000,1714529399999,1714526460000,Long,646.9206576878,126.0430000000,24.4619461371,0.0000000000,0.0000000000,Market,11353.3449710390,10859.7445092232,-493.6004618158
3485,1714529880000,Open,1714529880000,1714529939999,1714529880000,Long,637.3700878479,125.0810000000,23.9168663874,0.0000000000,0.0000000000,Market,11070.8373669556,11230.1798889176,159.3425219620
3486,1714530000000,Interval,1714530000000,1714530059999,1714529880000,Long,637.3700878479,125.0810000000,23.9168663874,0.0000000000,0.0000000000,Market,11070.8373669556,11019.2103898399,-51.6269771157
3487,1714530840000,Flatten,1714530840000,1714530899999,1714529880000,Long,637.3700878479,125.0810000000,23.9168663874,0.0000000000,0.0000000000,Market,11070.8373669556,11062.5515558136,-8.2858111420
4207,1715176320000,Open,1715176320000,1715176379999,1715176320000,Long,540.8813522425,147.0990000000,23.8689318101,0.0000000000,0.0000000000,Market,11014.7682433594,10929.8498710574,-84.9183723021
4208,1715176740000,Flatten,1715176740000,1715176799999,1715176320000,Long,540.8813522425,147.0990000000,23.8689318101,0.0000000000,0.0000000000,Market,11014.7682433594,11322.5297327854,307.7614894260
7507,1718143620000,Open,1718143620000,1718143679999,1718143620000,Long,537.9955583353,149.4770000000,24.1253886220,0.0000000000,0.0000000000,Market,11148.9962555284,11177.5100201202,28.5137645918
7508,1718144400000,Interval,1718144400000,1718144459999,1718143620000,Long,537.9955583353,149.4770000000,24.1253886220,0.0000000000,0.0000000000,Market,11148.9962555284,11123.1724687283,-25.8237868001
7509,1718144580000,Flatten,1718144580000,1718144639999,1718143620000,Long,537.9955583353,149.4770000000,24.1253886220,0.0000000000,0.0000000000,Market,11148.9962555284,10954.2418634110,-194.7543921174
7511,1718144940000,Open,1718144940000,1718144999999,1718144940000,Long,527.9994316460,148.8020000000,23.5702114283,0.0000000000,0.0000000000,Market,10906.6046896783,11036.4925498632,129.8878601849
